"","Indicator.Title","Observable.Type","Indicator.Types","TTP.Type","TTP.Name","Domain","URI","IP","File.Format","Indicator.Description","Observable.Description","TTP.Description","Received.Time","New_Received_Time","Year","Country","Month"
"47","ZeuS","File","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","chileindependiente.cl","http://chileindependiente.cl/php/config.bin","","bin","This domain chileindependiente.cl has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=chileindependiente.cl].","FileName: config.bin | FileHash: 2d7533625ab934ddae015c35d7440b39 | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-21T15:07:42+00:00",2014-10-21 15:07:42,2014,"","Oct"
"50","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","82.194.167.2","","This IP address 82.194.167.2 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/82.194.167.2].","IPv4: 82.194.167.2 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
"52","ZeuS","File","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","www.sheebadeals.biz","http://www.sheebadeals.biz/timma/config.bin","","bin","This domain www.sheebadeals.biz has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=www.sheebadeals.biz].","FileName: config.bin | FileHash: aec31328c4c9fddfd956c0cb4fff5b6f | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-03T17:53:33+00:00",2014-11-03 17:53:33,2014,"","Nov"
"56","ZeuS","File","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","naijawork.co.in","http://naijawork.co.in/test/30/config.bin","","bin","This domain naijawork.co.in has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=naijawork.co.in].","FileName: config.bin | FileHash: 72a616274b7679b7cc2a3c271893c16a | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-09-17T17:01:41+00:00",2014-09-17 17:01:41,2014,"","Sep"
"59","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","89.110.148.213","","This IP address 89.110.148.213 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/89.110.148.213].","IPv4: 89.110.148.213 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
"83","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","159.253.19.113","","This IP address 159.253.19.113 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/159.253.19.113].","IPv4: 159.253.19.113 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
"84","ZeuS","File","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","finaltouchpainting-wallcoveringmd.com","http://finaltouchpainting-wallcoveringmd.com/web/bot/bot.bin","","bin","This domain finaltouchpainting-wallcoveringmd.com has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=finaltouchpainting-wallcoveringmd.com].","FileName: bot.bin | FileHash: 5b9e36576d7a4e5ca1e67fde77d2512a | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-07T16:05:02+00:00",2014-11-07 16:05:02,2014,"","Nov"
"105","ZeuS","URI","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","nacosti.go.ke","http://nacosti.go.ke/components/madia/config.bin","","bin","This domain nacosti.go.ke has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=nacosti.go.ke].","URI: http://nacosti.go.ke/components/madia/config.bin | Type: URL | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-21T15:07:42+00:00",2014-10-21 15:07:42,2014,"","Oct"
"117","ZeuS","IP","IP Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","","http://104.192.103.43/vic/helps/file.php","104.192.103.43","php","This IP address 104.192.103.43 has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=104.192.103.43].","IPv4: 104.192.103.43 | isSource: True | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-22T15:01:33+00:00",2014-10-22 15:01:33,2014,"","Oct"
"120","ZeuS","File","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","www.dondadaski138.com","http://www.dondadaski138.com/dododo/config.bin","","bin","This domain www.dondadaski138.com has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=www.dondadaski138.com].","FileName: config.bin | FileHash: 34851f0e7ca364d0cd6c8112a064ba71 | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-03T17:53:33+00:00",2014-11-03 17:53:33,2014,"","Nov"
"136","ZeuS","File","IP Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","","http://46.183.220.82/rem/remm/file.php","46.183.220.82","php","This IP address 46.183.220.82 has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=46.183.220.82].","FileName: file.php | FileHash: ffa966d9f9be95fdc8e5363b7c316191 | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-08T03:05:02+00:00",2014-11-08 03:05:02,2014,"","Nov"
"144","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","78.108.95.106","","This IP address 78.108.95.106 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/78.108.95.106].","IPv4: 78.108.95.106 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
"145","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","174.142.192.137","","This IP address 174.142.192.137 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/174.142.192.137].","IPv4: 174.142.192.137 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
"150","ZeuS","File","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","www.advcombination.com","http://www.advcombination.com/images/advc.bin","","bin","This domain www.advcombination.com has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=www.advcombination.com].","FileName: advc.bin | FileHash: cc3d8923626d7e71feaf0a42805f3237 | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-10T16:05:02+00:00",2014-11-10 16:05:02,2014,"","Nov"
"157","ZeuS","Domain","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","sumandeepuniversity.co.in","http://sumandeepuniversity.co.in/medical/administrator/ps/config.bin","","bin","This domain sumandeepuniversity.co.in has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=sumandeepuniversity.co.in].","Domain: sumandeepuniversity.co.in | isFQDN: True | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-21T15:07:42+00:00",2014-10-21 15:07:42,2014,"","Oct"
"163","ZeuS","URI","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","tradingcuties.biz","http://tradingcuties.biz/htmlindex/30/config.bin","","bin","This domain tradingcuties.biz has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=tradingcuties.biz].","URI: http://tradingcuties.biz/htmlindex/30/config.bin | Type: URL | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-20T19:29:30+00:00",2014-10-20 19:29:30,2014,"","Oct"
"171","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","217.168.64.166","","This IP address 217.168.64.166 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/217.168.64.166].","IPv4: 217.168.64.166 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
"184","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","195.225.168.72","","This IP address 195.225.168.72 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/195.225.168.72].","IPv4: 195.225.168.72 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
"185","ZeuS","URI","IP Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","","http://174.136.57.250/~puntotex/js/config.bin","174.136.57.250","bin","This IP address 174.136.57.250 has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=174.136.57.250].","URI: http://174.136.57.250/~puntotex/js/config.bin | Type: URL | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-06T03:05:03+00:00",2014-11-06 03:05:03,2014,"","Nov"
"186","ZeuS","URI","IP Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","","http://64.90.187.131/~zadmin/shift/rl.bin","64.90.187.131","bin","This IP address 64.90.187.131 has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=64.90.187.131].","URI: http://64.90.187.131/~zadmin/shift/rl.bin | Type: URL | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-09T03:05:02+00:00",2014-11-09 03:05:02,2014,"","Nov"
"188","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","46.4.232.222","","This IP address 46.4.232.222 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/46.4.232.222].","IPv4: 46.4.232.222 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
"189","ZeuS","Domain","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","www.successfultravelservice.com","http://www.successfultravelservice.com/wp-comment/succ.bin","","bin","This domain www.successfultravelservice.com has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=www.successfultravelservice.com].","Domain: www.successfultravelservice.com | isFQDN: True | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-10T16:05:02+00:00",2014-11-10 16:05:02,2014,"","Nov"
"190","ZeuS","URI","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","www.jsi11.com","http://www.jsi11.com/images/jsi1.bin","","bin","This domain www.jsi11.com has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=www.jsi11.com].","URI: http://www.jsi11.com/images/jsi1.bin | Type: URL | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-31T14:50:30+00:00",2014-10-31 14:50:30,2014,"","Oct"
"193","ZeuS","Domain","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","hyperbolic.tk","http://hyperbolic.tk/tubes/config.bin","","bin","This domain hyperbolic.tk has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=hyperbolic.tk].","Domain: hyperbolic.tk | isFQDN: True | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-06T17:46:28+00:00",2014-11-06 17:46:28,2014,"","Nov"
"207","ZeuS","File","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","interlogistics.com.vn","http://interlogistics.com.vn/modules/mod_z/config.bin","","bin","This domain interlogistics.com.vn has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=interlogistics.com.vn].","FileName: config.bin | FileHash: c91ff1baa563608c3d14e0a1f4c36468 | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-31T16:44:24+00:00",2014-10-31 16:44:24,2014,"","Oct"
"218","ZeuS","Domain","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","www.ghandigameh.org","http://www.ghandigameh.org/timbod/config.bin","","bin","This domain www.ghandigameh.org has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=www.ghandigameh.org].","Domain: www.ghandigameh.org | isFQDN: True | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-10-31T16:44:24+00:00",2014-10-31 16:44:24,2014,"","Oct"
"220","ZeuS","Domain","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","virtual-equipment.com","http://virtual-equipment.com/includes/js/dtree/30/config.bin","","bin","This domain virtual-equipment.com has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=virtual-equipment.com].","Domain: virtual-equipment.com | isFQDN: True | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-06T17:46:28+00:00",2014-11-06 17:46:28,2014,"","Nov"
"222","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","91.222.139.45","","This IP address 91.222.139.45 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/91.222.139.45].","IPv4: 91.222.139.45 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
"223","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","182.253.237.6","","This IP address 182.253.237.6 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/182.253.237.6].","IPv4: 182.253.237.6 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
"233","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","94.127.67.221","","This IP address 94.127.67.221 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/94.127.67.221].","IPv4: 94.127.67.221 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
"234","ZeuS","Domain","Domain Watchlist-URL Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","keback-se.com","http://keback-se.com/gill/labby/aqua.bin","","","This domain keback-se.com has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=keback-se.com].","Domain: keback-se.com | isFQDN: True | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-08T03:05:02+00:00",2014-11-08 03:05:02,2014,"","Nov"
"242","ZeuS","URI","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","jobentdal.com","http://jobentdal.com/blog/images/jobe.bin","","bin","This domain jobentdal.com has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=jobentdal.com].","URI: http://jobentdal.com/blog/images/jobe.bin | Type: URL | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-06T17:46:28+00:00",2014-11-06 17:46:28,2014,"","Nov"
"245","ZeuS","URI","Domain Watchlist-URL Watchlist-File Hash Watchlist","Remote Access Trojan","ZeuS-Zbot-Zeus","seasonlogz.co.in","http://seasonlogz.co.in/abiga/Severphp/config.bin","","bin","This domain seasonlogz.co.in has been identified as malicious by zeustracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://zeustracker.abuse.ch/monitor.php?host=seasonlogz.co.in].","URI: http://seasonlogz.co.in/abiga/Severphp/config.bin | Type: URL | ","Zeus, ZeuS, or Zbot is Trojan horse computer malware effects Microsoft Windows operating system","2014-11-10T16:05:02+00:00",2014-11-10 16:05:02,2014,"","Nov"
"247","Feodo","IP","IP Watchlist","Remote Access Trojan","Cridex-Bugat-Dridex","","","188.40.181.203","","This IP address 188.40.181.203 has been identified as malicious by feodotracker.abuse.ch. For more detailed infomation about this indicator go to [CAUTION!!Read-URL-Before-Click] [https://feodotracker.abuse.ch/host/188.40.181.203].","IPv4: 188.40.181.203 | isSource: True | ","Feodo (also known as Cridex or Bugat) is a Trojan used to commit ebanking fraud and steal sensitive information from the victims computer, such as credit card details or credentials","2014-12-31T14:07:14+00:00",2014-12-31 14:07:14,2014,"","Dec"
